sample_id,layer_id,attention_mode,tensor_name,shape,dtype,is_saved,tensor_path,plot_path,total_elements,num_zeros,sparsity_ratio,min,max,mean,std,num_abs_lt_1e_4,num_abs_lt_1e_3,num_abs_lt_1e_2,ratio_abs_lt_1e_4,ratio_abs_lt_1e_3,ratio_abs_lt_1e_2,block_sparsity_4,block_sparsity_8,block_sparsity_16,block_sparsity_32
1,10,original_full,attention_probs,"[12, 768, 768]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_01_layer_10.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_01_layer_10.png,7077888,6782373,0.9582481384277344,0.0,0.96875,0.0012064717011526227,0.01357122790068388,6782373,6782373,6979778,0.9582481384277344,0.9582481384277344,0.98613852041739,0.7107204794883728,0.40606915950775146,0.13104021549224854,0.03269675746560097
1,11,original_full,attention_probs,"[12, 768, 768]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_01_layer_11.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_01_layer_11.png,7077888,6753561,0.9541774325900607,0.0,0.9765625,0.0011947969906032085,0.013720802031457424,6753561,6753561,6985390,0.9541774325900607,0.9541774325900607,0.9869314123083044,0.6947677135467529,0.41625073552131653,0.15957754850387573,0.04137731343507767
2,0,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_00.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_00.png,8306688,7525558,0.9059637246517505,0.0,1.0,0.0008460517274215817,0.015443112701177597,7525558,7525558,8251492,0.9059637246517505,0.9059637246517505,0.9933552337586292,0.5394265651702881,0.34718626737594604,0.2318170666694641,0.13634122908115387
2,1,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_01.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_01.png,8306688,7739510,0.9317203198194034,0.0,1.0,0.0009969789534807205,0.017479535192251205,7739510,7739510,8224623,0.9317203198194034,0.9317203198194034,0.9901206112472263,0.6947577595710754,0.4996378719806671,0.3031003475189209,0.14016272127628326
2,2,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_02.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_02.png,8306688,7900182,0.9510628062592456,0.0,0.99609375,0.001082414179109037,0.01909678988158703,7900182,7900182,8219726,0.9510628062592456,0.9510628062592456,0.989531086276504,0.7850425839424133,0.6125569939613342,0.38966962695121765,0.17011834681034088
2,3,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_03.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_03.png,8306688,7708230,0.9279546794101331,0.0,0.98046875,0.001016107969917357,0.013918714597821236,7708230,7708230,8204125,0.9279546794101331,0.9279546794101331,0.9876529610838881,0.6834204196929932,0.4908469021320343,0.31878697872161865,0.16777613759040833
2,4,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_04.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_04.png,8306688,7718603,0.9292034322223249,0.0,0.97265625,0.0010561334202066064,0.01288969349116087,7718603,7718603,8165118,0.9292034322223249,0.9292034322223249,0.9829571063701923,0.7093079686164856,0.5132673978805542,0.328125,0.18010355532169342
2,5,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_05.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_05.png,8306688,7650072,0.9209533330251479,0.0,0.953125,0.0010357974097132683,0.009715663269162178,7650072,7650072,8155391,0.9209533330251479,0.9209533330251479,0.9817861222186267,0.6777170300483704,0.47242510318756104,0.28325319290161133,0.13868343830108643
2,6,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_06.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_06.png,8306688,7764169,0.9346888916497165,0.0,0.9765625,0.0010771213565021753,0.010140695609152317,7764169,7764169,8146550,0.9346888916497165,0.9346888916497165,0.9807217991093442,0.7119564414024353,0.5113489031791687,0.31317800283432007,0.16765286028385162
2,7,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_07.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_07.png,8306688,7961160,0.9584036381286982,0.0,1.0,0.0011364379897713661,0.01621386408805847,7961160,7961160,8167840,0.9584036381286982,0.9584036381286982,0.9832847941321499,0.8452447056770325,0.7256148457527161,0.5405880212783813,0.300542414188385
2,8,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_08.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_08.png,8306688,8020200,0.9655111640162722,0.0,0.984375,0.0011438800720497966,0.012240399606525898,8020200,8020200,8178477,0.9655111640162722,0.9655111640162722,0.9845653285641642,0.8568921685218811,0.7289355397224426,0.521573007106781,0.2666420042514801
2,9,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_09.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_09.png,8306688,8043461,0.9683114377234344,0.0,1.0,0.0011395951732993126,0.013211922720074654,8043461,8043461,8191909,0.9683114377234344,0.9683114377234344,0.9861823388575567,0.8162521719932556,0.6207855939865112,0.3654770851135254,0.16950197517871857
2,10,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_10.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_10.png,8306688,7959796,0.9582394330929487,0.0,0.984375,0.0011064233258366585,0.011368106119334698,7959796,7959796,8179014,0.9582394330929487,0.9582394330929487,0.9846299752681213,0.6829118728637695,0.34955930709838867,0.08376479148864746,0.017751479521393776
2,11,original_full,attention_probs,"[12, 832, 832]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_02_layer_11.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_02_layer_11.png,8306688,7967823,0.9592057628744453,0.0,1.0,0.0011018045479431748,0.012211460620164871,7967823,7967823,8194919,0.9592057628744453,0.9592057628744453,0.9865446974775025,0.6921092867851257,0.38718873262405396,0.13094797730445862,0.033530570566654205
3,0,original_full,attention_probs,"[12, 896, 896]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_03_layer_00.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_03_layer_00.png,9633792,8844024,0.9180210658482143,0.0,1.0,0.000762502255383879,0.014743356965482235,8844024,8844024,9572237,0.9180210658482143,0.9180210658482143,0.9936105118316858,0.5762200355529785,0.37367135286331177,0.244047611951828,0.14243197441101074
3,1,original_full,attention_probs,"[12, 896, 896]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_03_layer_01.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_03_layer_01.png,9633792,9030023,0.937328001268867,0.0,1.0,0.0009196588071063161,0.01668630726635456,9030023,9030023,9543128,0.937328001268867,0.937328001268867,0.9905889601934523,0.7152274250984192,0.5246598720550537,0.32036563754081726,0.14551445841789246
3,2,original_full,attention_probs,"[12, 896, 896]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_03_layer_02.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_03_layer_02.png,9633792,9204587,0.9554479689825148,0.0,0.99609375,0.0010004108771681786,0.01836366578936577,9204587,9204587,9539699,0.9554479689825148,0.9554479689825148,0.9902330255832802,0.8016664385795593,0.6352173686027527,0.4095982015132904,0.1821853667497635
3,3,original_full,attention_probs,"[12, 896, 896]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_03_layer_03.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_03_layer_03.png,9633792,9001518,0.9343691456074618,0.0,0.96875,0.0009425054304301739,0.013361548073589802,9001518,9001518,9521684,0.9343691456074618,0.9343691456074618,0.9883630454134779,0.7127992510795593,0.5234375,0.33979061245918274,0.17602041363716125
3,4,original_full,attention_probs,"[12, 896, 896]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_03_layer_04.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_03_layer_04.png,9633792,9016503,0.9359246078802614,0.0,0.984375,0.0009766763541847467,0.012384154833853245,9016503,9016503,9482572,0.9359246078802614,0.9359246078802614,0.9843031695099915,0.7372581958770752,0.5484959483146667,0.3473905324935913,0.19409014284610748
3,5,original_full,attention_probs,"[12, 896, 896]",torch.float16,True,/home/nizhj/gnn_sparsity/bigbird_output/tensors/bigbird_original_full_sample_03_layer_05.pt,/home/nizhj/gnn_sparsity/bigbird_output/plots/bigbird_original_full_sample_03_layer_05.png,9633792,8928044,0.9267424499096514,0.0,0.94140625,0.0009570478578098118,0.009084860794246197,8928044,8928044,9468334,0.9267424499096514,0.9267424499096514,0.9828252467979379,0.7074215412139893,0.5013552308082581,0.28930166363716125,0.12457483261823654
