dataset_name,hook_source,input_a_name,input_a_path,input_a_stats.block_sparsity.16x16.block_cols,input_a_stats.block_sparsity.16x16.block_rows,input_a_stats.block_sparsity.16x16.block_sparsity_ratio,input_a_stats.block_sparsity.16x16.nonzero_blocks,input_a_stats.block_sparsity.16x16.total_blocks,input_a_stats.block_sparsity.1x1.block_cols,input_a_stats.block_sparsity.1x1.block_rows,input_a_stats.block_sparsity.1x1.block_sparsity_ratio,input_a_stats.block_sparsity.1x1.nonzero_blocks,input_a_stats.block_sparsity.1x1.total_blocks,input_a_stats.block_sparsity.32x32.block_cols,input_a_stats.block_sparsity.32x32.block_rows,input_a_stats.block_sparsity.32x32.block_sparsity_ratio,input_a_stats.block_sparsity.32x32.nonzero_blocks,input_a_stats.block_sparsity.32x32.total_blocks,input_a_stats.block_sparsity.4x4.block_cols,input_a_stats.block_sparsity.4x4.block_rows,input_a_stats.block_sparsity.4x4.block_sparsity_ratio,input_a_stats.block_sparsity.4x4.nonzero_blocks,input_a_stats.block_sparsity.4x4.total_blocks,input_a_stats.block_sparsity.8x8.block_cols,input_a_stats.block_sparsity.8x8.block_rows,input_a_stats.block_sparsity.8x8.block_sparsity_ratio,input_a_stats.block_sparsity.8x8.nonzero_blocks,input_a_stats.block_sparsity.8x8.total_blocks,input_a_stats.device,input_a_stats.dtype,input_a_stats.is_structurally_sparse,input_a_stats.matrix_view_shape,input_a_stats.max,input_a_stats.mean,input_a_stats.min,input_a_stats.nnz,input_a_stats.nonzero,input_a_stats.numel,input_a_stats.shape,input_a_stats.sparse_layout,input_a_stats.sparsity_ratio,input_a_stats.std,input_a_stats.thresholded_sparsity.abs_lt_1e-04,input_a_stats.thresholded_sparsity.abs_lt_1e-08,input_a_stats.thresholded_sparsity.abs_lt_1e-12,input_a_stats.zero_ratio,input_b_name,input_b_path,input_b_stats.block_sparsity.16x16.block_cols,input_b_stats.block_sparsity.16x16.block_rows,input_b_stats.block_sparsity.16x16.block_sparsity_ratio,input_b_stats.block_sparsity.16x16.nonzero_blocks,input_b_stats.block_sparsity.16x16.total_blocks,input_b_stats.block_sparsity.1x1.block_cols,input_b_stats.block_sparsity.1x1.block_rows,input_b_stats.block_sparsity.1x1.block_sparsity_ratio,input_b_stats.block_sparsity.1x1.nonzero_blocks,input_b_stats.block_sparsity.1x1.total_blocks,input_b_stats.block_sparsity.32x32.block_cols,input_b_stats.block_sparsity.32x32.block_rows,input_b_stats.block_sparsity.32x32.block_sparsity_ratio,input_b_stats.block_sparsity.32x32.nonzero_blocks,input_b_stats.block_sparsity.32x32.total_blocks,input_b_stats.block_sparsity.4x4.block_cols,input_b_stats.block_sparsity.4x4.block_rows,input_b_stats.block_sparsity.4x4.block_sparsity_ratio,input_b_stats.block_sparsity.4x4.nonzero_blocks,input_b_stats.block_sparsity.4x4.total_blocks,input_b_stats.block_sparsity.8x8.block_cols,input_b_stats.block_sparsity.8x8.block_rows,input_b_stats.block_sparsity.8x8.block_sparsity_ratio,input_b_stats.block_sparsity.8x8.nonzero_blocks,input_b_stats.block_sparsity.8x8.total_blocks,input_b_stats.device,input_b_stats.dtype,input_b_stats.is_structurally_sparse,input_b_stats.matrix_view_shape,input_b_stats.max,input_b_stats.mean,input_b_stats.min,input_b_stats.nnz,input_b_stats.nonzero,input_b_stats.numel,input_b_stats.shape,input_b_stats.sparse_layout,input_b_stats.sparsity_ratio,input_b_stats.std,input_b_stats.thresholded_sparsity.abs_lt_1e-04,input_b_stats.thresholded_sparsity.abs_lt_1e-08,input_b_stats.thresholded_sparsity.abs_lt_1e-12,input_b_stats.zero_ratio,layer_name,model_name,note,operator_type,record_id
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0000_layer0_linear_matmul_A.pt,16,16,0.0,84672,84672,1,1,1.937635449977826e-06,21675862,21675904,32,32,0.0,21168,21168,4,4,0.0,1354752,1354752,8,8,0.0,338688,338688,cpu,torch.float32,False,"[169343, 128]",1.6387439966201782,0.020484081721749283,-1.3888649940490723,21675862,21675862,21675904,"[169343, 128]",,1.937635449977826e-06,0.23322447346054026,0.000412024338177545,1.9376354499447865e-06,1.9376354499447865e-06,1.937635449977826e-06,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0000_layer0_linear_matmul_B.pt,16,16,0.0,32,32,1,1,0.0,8192,8192,32,32,0.0,8,8,4,4,0.0,512,512,8,8,0.0,128,128,cpu,torch.float32,False,"[64, 128]",0.08837123215198517,-0.0008268144539860245,-0.08838082104921341,8192,8192,8192,"[64, 128]",,0.0,0.0512002703695325,0.0010986328125,0.0,0.0,0.0,layer0_linear,gat,,matmul,0
ogbn-arxiv,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0001_layer0_att_src_matmul_A.pt,16,16,0.0,42336,42336,1,1,0.0,10837952,10837952,32,32,0.0,10584,10584,4,4,0.0,677376,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",0.8611488342285156,0.0054668316335006305,-0.9891014695167542,10837952,10837952,10837952,"[169343, 64]",,0.0,0.14150218960404598,0.0006486465339577072,9.226835475927556e-08,0.0,0.0,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0001_layer0_att_src_matmul_B.pt,16,16,0.0,4,4,1,1,0.0,64,64,32,32,0.0,2,2,4,4,0.0,16,16,8,8,0.0,8,8,cpu,torch.float32,False,"[1, 64]",0.3016567528247833,-0.0032958672072709305,-0.2994835674762726,64,64,64,[64],,0.0,0.16826581054452475,0.0,0.0,0.0,0.0,layer0_att_src,gat,,matmul,1
ogbn-arxiv,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0002_layer0_att_dst_matmul_A.pt,16,16,0.0,42336,42336,1,1,0.0,10837952,10837952,32,32,0.0,10584,10584,4,4,0.0,677376,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",0.8611488342285156,0.0054668316335006305,-0.9891014695167542,10837952,10837952,10837952,"[169343, 64]",,0.0,0.14150218960404598,0.0006486465339577072,9.226835475927556e-08,0.0,0.0,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0002_layer0_att_dst_matmul_B.pt,16,16,0.0,4,4,1,1,0.0,64,64,32,32,0.0,2,2,4,4,0.0,16,16,8,8,0.0,8,8,cpu,torch.float32,False,"[1, 64]",0.2889745235443115,-0.015267995724570937,-0.29274782538414,64,64,64,[64],,0.0,0.17663751669759595,0.0,0.0,0.0,0.0,layer0_att_dst,gat,,matmul,2
ogbn-arxiv,torch.sparse.mm,attention_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0003_layer0_spmm_spmm_A.pt,16,16,0.990025955477513,1117303,112021056,1,1,0.9999593318373773,1166243,28677051649,32,32,0.9619782195233011,1064810,28005264,4,4,0.999355264625429,1155583,1792336896,8,8,0.9974505016271227,1142390,448084224,cpu,torch.float32,True,"[169343, 169343]",1.0,5.297022923950662e-06,0.0,1166243,1166243,28677051649,"[169343, 169343]",CSR,0.9999593318373773,0.0013792048130203305,0.9999593318373773,0.9999593318373773,0.9999593318373773,0.9999593318373773,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0003_layer0_spmm_spmm_B.pt,16,16,0.0,42336,42336,1,1,0.0,10837952,10837952,32,32,0.0,10584,10584,4,4,0.0,677376,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",0.8611488342285156,0.0054668316335006305,-0.9891014695167542,10837952,10837952,10837952,"[169343, 64]",,0.0,0.14150218960404598,0.0006486465339577072,9.226835475927556e-08,0.0,0.0,layer0_spmm,gat,Edge-wise attention coefficients are materialized as a sparse matrix before multiplication.,spmm,3
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0004_layer1_linear_matmul_A.pt,16,16,0.0,42336,42336,1,1,0.10298624684811297,9721792,10837952,32,32,0.0,10584,10584,4,4,0.0003306878306877925,677152,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",0.7891659736633301,0.008509140647831672,-0.5710753202438354,9721792,9721792,10837952,"[169343, 64]",,0.10298624684811297,0.12208743512459291,0.10360850463260955,0.102986246848113,0.102986246848113,0.10298624684811297,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0004_layer1_linear_matmul_B.pt,16,16,0.0,12,12,1,1,0.0,2560,2560,32,32,0.0,4,4,4,4,0.0,160,160,8,8,0.0,40,40,cpu,torch.float32,False,"[40, 64]",0.12496131658554077,0.0004483370343223214,-0.12489163875579834,2560,2560,2560,"[40, 64]",,0.0,0.07204092813793146,0.00078125,0.0,0.0,0.0,layer1_linear,gat,,matmul,4
ogbn-arxiv,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0005_layer1_att_src_matmul_A.pt,16,16,0.0,31752,31752,1,1,0.10298624684811297,6076120,6773720,32,32,0.0,10584,10584,4,4,0.0003306878306877925,423220,423360,8,8,0.0,105840,105840,cpu,torch.float32,False,"[169343, 40]",0.40888187289237976,0.0032495434517550528,-0.3185282349586487,6076120,6076120,6773720,"[169343, 40]",,0.10298624684811297,0.0568625082001799,0.10429276675150434,0.10298639447748062,0.102986246848113,0.10298624684811297,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0005_layer1_att_src_matmul_B.pt,16,16,0.0,3,3,1,1,0.0,40,40,32,32,0.0,2,2,4,4,0.0,10,10,8,8,0.0,5,5,cpu,torch.float32,False,"[1, 40]",0.34466788172721863,-0.003844956401735544,-0.3410913348197937,40,40,40,[40],,0.0,0.20494415870266688,0.0,0.0,0.0,0.0,layer1_att_src,gat,,matmul,5
ogbn-arxiv,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0006_layer1_att_dst_matmul_A.pt,16,16,0.0,31752,31752,1,1,0.10298624684811297,6076120,6773720,32,32,0.0,10584,10584,4,4,0.0003306878306877925,423220,423360,8,8,0.0,105840,105840,cpu,torch.float32,False,"[169343, 40]",0.40888187289237976,0.0032495434517550528,-0.3185282349586487,6076120,6076120,6773720,"[169343, 40]",,0.10298624684811297,0.0568625082001799,0.10429276675150434,0.10298639447748062,0.102986246848113,0.10298624684811297,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0006_layer1_att_dst_matmul_B.pt,16,16,0.0,3,3,1,1,0.0,40,40,32,32,0.0,2,2,4,4,0.0,10,10,8,8,0.0,5,5,cpu,torch.float32,False,"[1, 40]",0.31729939579963684,-0.04364982642000541,-0.3757234513759613,40,40,40,[40],,0.0,0.20909371585679587,0.0,0.0,0.0,0.0,layer1_att_dst,gat,,matmul,6
ogbn-arxiv,torch.sparse.mm,attention_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0007_layer1_spmm_spmm_A.pt,16,16,0.990025955477513,1117303,112021056,1,1,0.9999593318373773,1166243,28677051649,32,32,0.9619782195233011,1064810,28005264,4,4,0.999355264625429,1155583,1792336896,8,8,0.9974505016271227,1142390,448084224,cpu,torch.float32,True,"[169343, 169343]",1.0,5.297022926952822e-06,0.0,1166243,1166243,28677051649,"[169343, 169343]",CSR,0.9999593318373773,0.0013785530033487594,0.9999593318373773,0.9999593318373773,0.9999593318373773,0.9999593318373773,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/ogbn-arxiv/tensors/0007_layer1_spmm_spmm_B.pt,16,16,0.0,31752,31752,1,1,0.10298624684811297,6076120,6773720,32,32,0.0,10584,10584,4,4,0.0003306878306877925,423220,423360,8,8,0.0,105840,105840,cpu,torch.float32,False,"[169343, 40]",0.40888187289237976,0.0032495434517550528,-0.3185282349586487,6076120,6076120,6773720,"[169343, 40]",,0.10298624684811297,0.0568625082001799,0.10429276675150434,0.10298639447748062,0.102986246848113,0.10298624684811297,layer1_spmm,gat,Edge-wise attention coefficients are materialized as a sparse matrix before multiplication.,spmm,7
