dataset_name,hook_source,input_a_name,input_a_path,input_a_stats.block_sparsity.16x16.block_cols,input_a_stats.block_sparsity.16x16.block_rows,input_a_stats.block_sparsity.16x16.block_sparsity_ratio,input_a_stats.block_sparsity.16x16.nonzero_blocks,input_a_stats.block_sparsity.16x16.total_blocks,input_a_stats.block_sparsity.1x1.block_cols,input_a_stats.block_sparsity.1x1.block_rows,input_a_stats.block_sparsity.1x1.block_sparsity_ratio,input_a_stats.block_sparsity.1x1.nonzero_blocks,input_a_stats.block_sparsity.1x1.total_blocks,input_a_stats.block_sparsity.32x32.block_cols,input_a_stats.block_sparsity.32x32.block_rows,input_a_stats.block_sparsity.32x32.block_sparsity_ratio,input_a_stats.block_sparsity.32x32.nonzero_blocks,input_a_stats.block_sparsity.32x32.total_blocks,input_a_stats.block_sparsity.4x4.block_cols,input_a_stats.block_sparsity.4x4.block_rows,input_a_stats.block_sparsity.4x4.block_sparsity_ratio,input_a_stats.block_sparsity.4x4.nonzero_blocks,input_a_stats.block_sparsity.4x4.total_blocks,input_a_stats.block_sparsity.8x8.block_cols,input_a_stats.block_sparsity.8x8.block_rows,input_a_stats.block_sparsity.8x8.block_sparsity_ratio,input_a_stats.block_sparsity.8x8.nonzero_blocks,input_a_stats.block_sparsity.8x8.total_blocks,input_a_stats.device,input_a_stats.dtype,input_a_stats.is_structurally_sparse,input_a_stats.matrix_view_shape,input_a_stats.max,input_a_stats.mean,input_a_stats.min,input_a_stats.nnz,input_a_stats.nonzero,input_a_stats.numel,input_a_stats.shape,input_a_stats.sparse_layout,input_a_stats.sparsity_ratio,input_a_stats.std,input_a_stats.thresholded_sparsity.abs_lt_1e-04,input_a_stats.thresholded_sparsity.abs_lt_1e-08,input_a_stats.thresholded_sparsity.abs_lt_1e-12,input_a_stats.zero_ratio,input_b_name,input_b_path,input_b_stats.block_sparsity.16x16.block_cols,input_b_stats.block_sparsity.16x16.block_rows,input_b_stats.block_sparsity.16x16.block_sparsity_ratio,input_b_stats.block_sparsity.16x16.nonzero_blocks,input_b_stats.block_sparsity.16x16.total_blocks,input_b_stats.block_sparsity.1x1.block_cols,input_b_stats.block_sparsity.1x1.block_rows,input_b_stats.block_sparsity.1x1.block_sparsity_ratio,input_b_stats.block_sparsity.1x1.nonzero_blocks,input_b_stats.block_sparsity.1x1.total_blocks,input_b_stats.block_sparsity.32x32.block_cols,input_b_stats.block_sparsity.32x32.block_rows,input_b_stats.block_sparsity.32x32.block_sparsity_ratio,input_b_stats.block_sparsity.32x32.nonzero_blocks,input_b_stats.block_sparsity.32x32.total_blocks,input_b_stats.block_sparsity.4x4.block_cols,input_b_stats.block_sparsity.4x4.block_rows,input_b_stats.block_sparsity.4x4.block_sparsity_ratio,input_b_stats.block_sparsity.4x4.nonzero_blocks,input_b_stats.block_sparsity.4x4.total_blocks,input_b_stats.block_sparsity.8x8.block_cols,input_b_stats.block_sparsity.8x8.block_rows,input_b_stats.block_sparsity.8x8.block_sparsity_ratio,input_b_stats.block_sparsity.8x8.nonzero_blocks,input_b_stats.block_sparsity.8x8.total_blocks,input_b_stats.device,input_b_stats.dtype,input_b_stats.is_structurally_sparse,input_b_stats.matrix_view_shape,input_b_stats.max,input_b_stats.mean,input_b_stats.min,input_b_stats.nnz,input_b_stats.nonzero,input_b_stats.numel,input_b_stats.shape,input_b_stats.sparse_layout,input_b_stats.sparsity_ratio,input_b_stats.std,input_b_stats.thresholded_sparsity.abs_lt_1e-04,input_b_stats.thresholded_sparsity.abs_lt_1e-08,input_b_stats.thresholded_sparsity.abs_lt_1e-12,input_b_stats.zero_ratio,layer_name,model_name,note,operator_type,record_id
pubmed,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0000_layer0_linear_matmul_A.pt,16,16,0.007020478507704819,39179,39456,1,1,0.8997787695896942,988031,9858500,32,32,0.0,9872,9872,4,4,0.2712632860040568,449084,616250,8,8,0.027270678386297043,151060,155295,cpu,torch.float32,False,"[19717, 500]",0.4861621558666229,0.0020000000009088624,0.0,988031,988031,9858500,"[19717, 500]",,0.8997787695896942,0.008745686539842595,0.8997787695896942,0.8997787695896942,0.8997787695896942,0.8997787695896942,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0000_layer0_linear_matmul_B.pt,16,16,0.0,128,128,1,1,0.0,32000,32000,32,32,0.0,32,32,4,4,0.0,2000,2000,8,8,0.0,504,504,cpu,torch.float32,False,"[64, 500]",0.04471219331026077,0.00012983451401054325,-0.04471772164106369,32000,32000,32000,"[64, 500]",,0.0,0.025843444303121608,0.002,0.0,0.0,0.0,layer0_linear,gat,,matmul,0
pubmed,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0001_layer0_att_src_matmul_A.pt,16,16,0.0,4932,4932,1,1,0.0,1261888,1261888,32,32,0.0,1234,1234,4,4,0.0,78880,78880,8,8,0.0,19720,19720,cpu,torch.float32,False,"[19717, 64]",0.030209485441446304,0.00019794445197158798,-0.03038192167878151,1261888,1261888,1261888,"[19717, 64]",,0.0,0.0051902548944166085,0.015864323933661308,2.377390069483187e-06,0.0,0.0,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0001_layer0_att_src_matmul_B.pt,16,16,0.0,4,4,1,1,0.0,64,64,32,32,0.0,2,2,4,4,0.0,16,16,8,8,0.0,8,8,cpu,torch.float32,False,"[1, 64]",0.3027651011943817,0.007081693154759705,-0.29182112216949463,64,64,64,[64],,0.0,0.18104856059934155,0.0,0.0,0.0,0.0,layer0_att_src,gat,,matmul,1
pubmed,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0002_layer0_att_dst_matmul_A.pt,16,16,0.0,4932,4932,1,1,0.0,1261888,1261888,32,32,0.0,1234,1234,4,4,0.0,78880,78880,8,8,0.0,19720,19720,cpu,torch.float32,False,"[19717, 64]",0.030209485441446304,0.00019794445197158798,-0.03038192167878151,1261888,1261888,1261888,"[19717, 64]",,0.0,0.0051902548944166085,0.015864323933661308,2.377390069483187e-06,0.0,0.0,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0002_layer0_att_dst_matmul_B.pt,16,16,0.0,4,4,1,1,0.0,64,64,32,32,0.0,2,2,4,4,0.0,16,16,8,8,0.0,8,8,cpu,torch.float32,False,"[1, 64]",0.29132694005966187,-0.008374555400223471,-0.30064237117767334,64,64,64,[64],,0.0,0.17993377650119766,0.0,0.0,0.0,0.0,layer0_att_dst,gat,,matmul,2
pubmed,torch.sparse.mm,attention_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0003_layer0_spmm_spmm_A.pt,16,16,0.9447519517670654,83993,1520289,1,1,0.9997719724773496,88648,388760089,32,32,0.8010081720249338,75754,380689,4,4,0.9963935667293427,87654,24304900,8,8,0.9857370324502467,86665,6076225,cpu,torch.float32,True,"[19717, 19717]",1.0,5.071765480840415e-05,0.0,88648,88648,388760089,"[19717, 19717]",CSR,0.9997719724773496,0.005564173562803442,0.9997719724773496,0.9997719724773496,0.9997719724773496,0.9997719724773496,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0003_layer0_spmm_spmm_B.pt,16,16,0.0,4932,4932,1,1,0.0,1261888,1261888,32,32,0.0,1234,1234,4,4,0.0,78880,78880,8,8,0.0,19720,19720,cpu,torch.float32,False,"[19717, 64]",0.030209485441446304,0.00019794445197158798,-0.03038192167878151,1261888,1261888,1261888,"[19717, 64]",,0.0,0.0051902548944166085,0.015864323933661308,2.377390069483187e-06,0.0,0.0,layer0_spmm,gat,Edge-wise attention coefficients are materialized as a sparse matrix before multiplication.,spmm,3
pubmed,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0004_layer1_linear_matmul_A.pt,16,16,0.0,4932,4932,1,1,0.0,1261888,1261888,32,32,0.0,1234,1234,4,4,0.0,78880,78880,8,8,0.0,19720,19720,cpu,torch.float32,False,"[19717, 64]",0.027373213320970535,0.00018951078789767486,-0.029544038698077202,1261888,1261888,1261888,"[19717, 64]",,0.0,0.004311747483482436,0.02109299715981133,8.717096921438353e-06,0.0,0.0,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0004_layer1_linear_matmul_B.pt,16,16,0.0,4,4,1,1,0.0,192,192,32,32,0.0,2,2,4,4,0.0,16,16,8,8,0.0,8,8,cpu,torch.float32,False,"[3, 64]",0.12472550570964813,0.0003035852375129859,-0.12351083755493164,192,192,192,"[3, 64]",,0.0,0.07244985377541702,0.0,0.0,0.0,0.0,layer1_linear,gat,,matmul,4
pubmed,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0005_layer1_att_src_matmul_A.pt,16,16,0.0,1233,1233,1,1,0.0,59151,59151,32,32,0.0,617,617,4,4,0.0,4930,4930,8,8,0.0,2465,2465,cpu,torch.float32,False,"[19717, 3]",0.012502728030085564,0.000445128201133744,-0.014482161030173302,59151,59151,59151,"[19717, 3]",,0.0,0.0024691493209128604,0.03464015823908302,1.690588493854711e-05,0.0,0.0,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0005_layer1_att_src_matmul_B.pt,16,16,0.0,1,1,1,1,0.0,3,3,32,32,0.0,1,1,4,4,0.0,1,1,8,8,0.0,1,1,cpu,torch.float32,False,"[1, 3]",0.8744388222694397,0.37219858542084694,-0.03939836099743843,3,3,3,[3],,0.0,0.37853820058686305,0.0,0.0,0.0,0.0,layer1_att_src,gat,,matmul,5
pubmed,torch.matmul,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0006_layer1_att_dst_matmul_A.pt,16,16,0.0,1233,1233,1,1,0.0,59151,59151,32,32,0.0,617,617,4,4,0.0,4930,4930,8,8,0.0,2465,2465,cpu,torch.float32,False,"[19717, 3]",0.012502728030085564,0.000445128201133744,-0.014482161030173302,59151,59151,59151,"[19717, 3]",,0.0,0.0024691493209128604,0.03464015823908302,1.690588493854711e-05,0.0,0.0,attention_vector,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0006_layer1_att_dst_matmul_B.pt,16,16,0.0,1,1,1,1,0.0,3,3,32,32,0.0,1,1,4,4,0.0,1,1,8,8,0.0,1,1,cpu,torch.float32,False,"[1, 3]",1.1005791425704956,0.16415850321451822,-1.182367205619812,3,3,3,[3],,0.0,0.9760808139997934,0.0,0.0,0.0,0.0,layer1_att_dst,gat,,matmul,6
pubmed,torch.sparse.mm,attention_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0007_layer1_spmm_spmm_A.pt,16,16,0.9447519517670654,83993,1520289,1,1,0.9997719724773496,88648,388760089,32,32,0.8010081720249338,75754,380689,4,4,0.9963935667293427,87654,24304900,8,8,0.9857370324502467,86665,6076225,cpu,torch.float32,True,"[19717, 19717]",1.0,5.071765483489015e-05,0.0,88648,88648,388760089,"[19717, 19717]",CSR,0.9997719724773496,0.005564169539732642,0.9997719724773496,0.9997719724773496,0.9997719724773496,0.9997719724773496,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gat/pubmed/tensors/0007_layer1_spmm_spmm_B.pt,16,16,0.0,1233,1233,1,1,0.0,59151,59151,32,32,0.0,617,617,4,4,0.0,4930,4930,8,8,0.0,2465,2465,cpu,torch.float32,False,"[19717, 3]",0.012502728030085564,0.000445128201133744,-0.014482161030173302,59151,59151,59151,"[19717, 3]",,0.0,0.0024691493209128604,0.03464015823908302,1.690588493854711e-05,0.0,0.0,layer1_spmm,gat,Edge-wise attention coefficients are materialized as a sparse matrix before multiplication.,spmm,7
