dataset_name,hook_source,input_a_name,input_a_path,input_a_stats.block_sparsity.16x16.block_cols,input_a_stats.block_sparsity.16x16.block_rows,input_a_stats.block_sparsity.16x16.block_sparsity_ratio,input_a_stats.block_sparsity.16x16.nonzero_blocks,input_a_stats.block_sparsity.16x16.total_blocks,input_a_stats.block_sparsity.1x1.block_cols,input_a_stats.block_sparsity.1x1.block_rows,input_a_stats.block_sparsity.1x1.block_sparsity_ratio,input_a_stats.block_sparsity.1x1.nonzero_blocks,input_a_stats.block_sparsity.1x1.total_blocks,input_a_stats.block_sparsity.32x32.block_cols,input_a_stats.block_sparsity.32x32.block_rows,input_a_stats.block_sparsity.32x32.block_sparsity_ratio,input_a_stats.block_sparsity.32x32.nonzero_blocks,input_a_stats.block_sparsity.32x32.total_blocks,input_a_stats.block_sparsity.4x4.block_cols,input_a_stats.block_sparsity.4x4.block_rows,input_a_stats.block_sparsity.4x4.block_sparsity_ratio,input_a_stats.block_sparsity.4x4.nonzero_blocks,input_a_stats.block_sparsity.4x4.total_blocks,input_a_stats.block_sparsity.8x8.block_cols,input_a_stats.block_sparsity.8x8.block_rows,input_a_stats.block_sparsity.8x8.block_sparsity_ratio,input_a_stats.block_sparsity.8x8.nonzero_blocks,input_a_stats.block_sparsity.8x8.total_blocks,input_a_stats.device,input_a_stats.dtype,input_a_stats.is_structurally_sparse,input_a_stats.matrix_view_shape,input_a_stats.max,input_a_stats.mean,input_a_stats.min,input_a_stats.nnz,input_a_stats.nonzero,input_a_stats.numel,input_a_stats.shape,input_a_stats.sparse_layout,input_a_stats.sparsity_ratio,input_a_stats.std,input_a_stats.thresholded_sparsity.abs_lt_1e-04,input_a_stats.thresholded_sparsity.abs_lt_1e-08,input_a_stats.thresholded_sparsity.abs_lt_1e-12,input_a_stats.zero_ratio,input_b_name,input_b_path,input_b_stats.block_sparsity.16x16.block_cols,input_b_stats.block_sparsity.16x16.block_rows,input_b_stats.block_sparsity.16x16.block_sparsity_ratio,input_b_stats.block_sparsity.16x16.nonzero_blocks,input_b_stats.block_sparsity.16x16.total_blocks,input_b_stats.block_sparsity.1x1.block_cols,input_b_stats.block_sparsity.1x1.block_rows,input_b_stats.block_sparsity.1x1.block_sparsity_ratio,input_b_stats.block_sparsity.1x1.nonzero_blocks,input_b_stats.block_sparsity.1x1.total_blocks,input_b_stats.block_sparsity.32x32.block_cols,input_b_stats.block_sparsity.32x32.block_rows,input_b_stats.block_sparsity.32x32.block_sparsity_ratio,input_b_stats.block_sparsity.32x32.nonzero_blocks,input_b_stats.block_sparsity.32x32.total_blocks,input_b_stats.block_sparsity.4x4.block_cols,input_b_stats.block_sparsity.4x4.block_rows,input_b_stats.block_sparsity.4x4.block_sparsity_ratio,input_b_stats.block_sparsity.4x4.nonzero_blocks,input_b_stats.block_sparsity.4x4.total_blocks,input_b_stats.block_sparsity.8x8.block_cols,input_b_stats.block_sparsity.8x8.block_rows,input_b_stats.block_sparsity.8x8.block_sparsity_ratio,input_b_stats.block_sparsity.8x8.nonzero_blocks,input_b_stats.block_sparsity.8x8.total_blocks,input_b_stats.device,input_b_stats.dtype,input_b_stats.is_structurally_sparse,input_b_stats.matrix_view_shape,input_b_stats.max,input_b_stats.mean,input_b_stats.min,input_b_stats.nnz,input_b_stats.nonzero,input_b_stats.numel,input_b_stats.shape,input_b_stats.sparse_layout,input_b_stats.sparsity_ratio,input_b_stats.std,input_b_stats.thresholded_sparsity.abs_lt_1e-04,input_b_stats.thresholded_sparsity.abs_lt_1e-08,input_b_stats.thresholded_sparsity.abs_lt_1e-12,input_b_stats.zero_ratio,layer_name,model_name,note,operator_type,record_id
ogbn-arxiv,torch.sparse.mm,sum_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0000_layer0_spmm_spmm_A.pt,16,16,0.990025955477513,1117303,112021056,1,1,0.9999593318373773,1166243,28677051649,32,32,0.9619782195233011,1064810,28005264,4,4,0.999355264625429,1155583,1792336896,8,8,0.9974505016271227,1142390,448084224,cpu,torch.float32,True,"[169343, 169343]",1.0,4.066816262266167e-05,0.0,1166243,1166243,28677051649,"[169343, 169343]",CSR,0.9999593318373773,0.006377029772802583,0.9999593318373773,0.9999593318373773,0.9999593318373773,0.9999593318373773,node_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0000_layer0_spmm_spmm_B.pt,16,16,0.0,84672,84672,1,1,1.937635449977826e-06,21675862,21675904,32,32,0.0,21168,21168,4,4,0.0,1354752,1354752,8,8,0.0,338688,338688,cpu,torch.float32,False,"[169343, 128]",1.6387439966201782,0.020484081721749283,-1.3888649940490723,21675862,21675862,21675904,"[169343, 128]",,1.937635449977826e-06,0.23322447346054026,0.000412024338177545,1.9376354499447865e-06,1.9376354499447865e-06,1.937635449977826e-06,layer0_spmm,gin,,spmm,0
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0001_layer0_mlp_linear0_matmul_A.pt,16,16,0.0,84672,84672,1,1,4.6134177378309715e-07,21675894,21675904,32,32,0.0,21168,21168,4,4,0.0,1354752,1354752,8,8,0.0,338688,338688,cpu,torch.float32,False,"[169343, 128]",424.8848571777344,0.15092587120077317,-194.72084045410156,21675894,21675894,21675904,"[169343, 128]",,4.6134177378309715e-07,2.5706524517500533,0.00012557723082737404,4.613417737963778e-07,4.613417737963778e-07,4.6134177378309715e-07,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0001_layer0_mlp_linear0_matmul_B.pt,16,16,0.0,32,32,1,1,0.0,8192,8192,32,32,0.0,8,8,4,4,0.0,512,512,8,8,0.0,128,128,cpu,torch.float32,False,"[64, 128]",0.08829455822706223,0.00046553232868545846,-0.08831139653921127,8192,8192,8192,"[64, 128]",,0.0,0.05071854564357748,0.0009765625,0.0,0.0,0.0,layer0_mlp_linear0,gin,,matmul,1
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0002_layer0_mlp_linear1_matmul_A.pt,16,16,0.0,42336,42336,1,1,0.5409639201207017,4975011,10837952,32,32,0.0,10584,10584,4,4,0.0006126582577475892,676961,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",97.49835968017578,0.3305766572261321,0.0,4975011,4975011,10837952,"[169343, 64]",,0.5409639201207017,0.8513158196514707,0.5410682756299345,0.5409639201207018,0.5409639201207018,0.5409639201207017,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0002_layer0_mlp_linear1_matmul_B.pt,16,16,0.0,16,16,1,1,0.0,4096,4096,32,32,0.0,4,4,4,4,0.0,256,256,8,8,0.0,64,64,cpu,torch.float32,False,"[64, 64]",0.12487153708934784,0.000706356036971556,-0.12496669590473175,4096,4096,4096,"[64, 64]",,0.0,0.0724411084523087,0.00048828125,0.0,0.0,0.0,layer0_mlp_linear1,gin,,matmul,2
ogbn-arxiv,torch.sparse.mm,sum_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0003_layer1_spmm_spmm_A.pt,16,16,0.990025955477513,1117303,112021056,1,1,0.9999593318373773,1166243,28677051649,32,32,0.9619782195233011,1064810,28005264,4,4,0.999355264625429,1155583,1792336896,8,8,0.9974505016271227,1142390,448084224,cpu,torch.float32,True,"[169343, 169343]",1.0,4.066816262266167e-05,0.0,1166243,1166243,28677051649,"[169343, 169343]",CSR,0.9999593318373773,0.006377029772802583,0.9999593318373773,0.9999593318373773,0.9999593318373773,0.9999593318373773,node_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0003_layer1_spmm_spmm_B.pt,16,16,0.0,42336,42336,1,1,0.0,10837952,10837952,32,32,0.0,10584,10584,4,4,0.0,677376,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",37.152679443359375,-0.011261574626844148,-45.94269943237305,10837952,10837952,10837952,"[169343, 64]",,0.0,0.5506010663210446,0.00039684619381964416,0.0,0.0,0.0,layer1_spmm,gin,,spmm,3
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0004_layer1_mlp_linear0_matmul_A.pt,16,16,0.0,42336,42336,1,1,0.0,10837952,10837952,32,32,0.0,10584,10584,4,4,0.0,677376,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",606.5059204101562,-0.14937527463173667,-895.4183349609375,10837952,10837952,10837952,"[169343, 64]",,0.0,9.557405471799617,0.00016617530692145528,0.0,0.0,0.0,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0004_layer1_mlp_linear0_matmul_B.pt,16,16,0.0,16,16,1,1,0.0,4096,4096,32,32,0.0,4,4,4,4,0.0,256,256,8,8,0.0,64,64,cpu,torch.float32,False,"[64, 64]",0.12486088275909424,0.0006658570819126908,-0.12497496604919434,4096,4096,4096,"[64, 64]",,0.0,0.07289239035682427,0.000244140625,0.0,0.0,0.0,layer1_mlp_linear0,gin,,matmul,4
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0005_layer1_mlp_linear1_matmul_A.pt,16,16,0.0,42336,42336,1,1,0.4368020821646008,6103912,10837952,32,32,0.0,10584,10584,4,4,0.00017567791005290712,677257,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",482.7973327636719,1.2619197898921668,0.0,6103912,6103912,10837952,"[169343, 64]",,0.4368020821646008,4.205102460230926,0.43692590629668776,0.4368020821646008,0.4368020821646008,0.4368020821646008,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gin/ogbn-arxiv/tensors/0005_layer1_mlp_linear1_matmul_B.pt,16,16,0.0,12,12,1,1,0.0,2560,2560,32,32,0.0,4,4,4,4,0.0,160,160,8,8,0.0,40,40,cpu,torch.float32,False,"[40, 64]",0.12498100101947784,-0.0008239702496211976,-0.12486299872398376,2560,2560,2560,"[40, 64]",,0.0,0.07203104006616862,0.001171875,0.0,0.0,0.0,layer1_mlp_linear1,gin,,matmul,5
