dataset_name,hook_source,input_a_name,input_a_path,input_a_stats.block_sparsity.16x16.block_cols,input_a_stats.block_sparsity.16x16.block_rows,input_a_stats.block_sparsity.16x16.block_sparsity_ratio,input_a_stats.block_sparsity.16x16.nonzero_blocks,input_a_stats.block_sparsity.16x16.total_blocks,input_a_stats.block_sparsity.1x1.block_cols,input_a_stats.block_sparsity.1x1.block_rows,input_a_stats.block_sparsity.1x1.block_sparsity_ratio,input_a_stats.block_sparsity.1x1.nonzero_blocks,input_a_stats.block_sparsity.1x1.total_blocks,input_a_stats.block_sparsity.32x32.block_cols,input_a_stats.block_sparsity.32x32.block_rows,input_a_stats.block_sparsity.32x32.block_sparsity_ratio,input_a_stats.block_sparsity.32x32.nonzero_blocks,input_a_stats.block_sparsity.32x32.total_blocks,input_a_stats.block_sparsity.4x4.block_cols,input_a_stats.block_sparsity.4x4.block_rows,input_a_stats.block_sparsity.4x4.block_sparsity_ratio,input_a_stats.block_sparsity.4x4.nonzero_blocks,input_a_stats.block_sparsity.4x4.total_blocks,input_a_stats.block_sparsity.8x8.block_cols,input_a_stats.block_sparsity.8x8.block_rows,input_a_stats.block_sparsity.8x8.block_sparsity_ratio,input_a_stats.block_sparsity.8x8.nonzero_blocks,input_a_stats.block_sparsity.8x8.total_blocks,input_a_stats.device,input_a_stats.dtype,input_a_stats.is_structurally_sparse,input_a_stats.matrix_view_shape,input_a_stats.max,input_a_stats.mean,input_a_stats.min,input_a_stats.nnz,input_a_stats.nonzero,input_a_stats.numel,input_a_stats.shape,input_a_stats.sparse_layout,input_a_stats.sparsity_ratio,input_a_stats.std,input_a_stats.thresholded_sparsity.abs_lt_1e-04,input_a_stats.thresholded_sparsity.abs_lt_1e-08,input_a_stats.thresholded_sparsity.abs_lt_1e-12,input_a_stats.zero_ratio,input_b_name,input_b_path,input_b_stats.block_sparsity.16x16.block_cols,input_b_stats.block_sparsity.16x16.block_rows,input_b_stats.block_sparsity.16x16.block_sparsity_ratio,input_b_stats.block_sparsity.16x16.nonzero_blocks,input_b_stats.block_sparsity.16x16.total_blocks,input_b_stats.block_sparsity.1x1.block_cols,input_b_stats.block_sparsity.1x1.block_rows,input_b_stats.block_sparsity.1x1.block_sparsity_ratio,input_b_stats.block_sparsity.1x1.nonzero_blocks,input_b_stats.block_sparsity.1x1.total_blocks,input_b_stats.block_sparsity.32x32.block_cols,input_b_stats.block_sparsity.32x32.block_rows,input_b_stats.block_sparsity.32x32.block_sparsity_ratio,input_b_stats.block_sparsity.32x32.nonzero_blocks,input_b_stats.block_sparsity.32x32.total_blocks,input_b_stats.block_sparsity.4x4.block_cols,input_b_stats.block_sparsity.4x4.block_rows,input_b_stats.block_sparsity.4x4.block_sparsity_ratio,input_b_stats.block_sparsity.4x4.nonzero_blocks,input_b_stats.block_sparsity.4x4.total_blocks,input_b_stats.block_sparsity.8x8.block_cols,input_b_stats.block_sparsity.8x8.block_rows,input_b_stats.block_sparsity.8x8.block_sparsity_ratio,input_b_stats.block_sparsity.8x8.nonzero_blocks,input_b_stats.block_sparsity.8x8.total_blocks,input_b_stats.device,input_b_stats.dtype,input_b_stats.is_structurally_sparse,input_b_stats.matrix_view_shape,input_b_stats.max,input_b_stats.mean,input_b_stats.min,input_b_stats.nnz,input_b_stats.nonzero,input_b_stats.numel,input_b_stats.shape,input_b_stats.sparse_layout,input_b_stats.sparsity_ratio,input_b_stats.std,input_b_stats.thresholded_sparsity.abs_lt_1e-04,input_b_stats.thresholded_sparsity.abs_lt_1e-08,input_b_stats.thresholded_sparsity.abs_lt_1e-12,input_b_stats.zero_ratio,layer_name,model_name,note,operator_type,record_id
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0000_layer0_linear_matmul_A.pt,16,16,0.0,84672,84672,1,1,1.937635449977826e-06,21675862,21675904,32,32,0.0,21168,21168,4,4,0.0,1354752,1354752,8,8,0.0,338688,338688,cpu,torch.float32,False,"[169343, 128]",1.6387439966201782,0.020484081721749283,-1.3888649940490723,21675862,21675862,21675904,"[169343, 128]",,1.937635449977826e-06,0.23322447346054026,0.000412024338177545,1.9376354499447865e-06,1.9376354499447865e-06,1.937635449977826e-06,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0000_layer0_linear_matmul_B.pt,16,16,0.0,32,32,1,1,0.0,8192,8192,32,32,0.0,8,8,4,4,0.0,512,512,8,8,0.0,128,128,cpu,torch.float32,False,"[64, 128]",0.08836141228675842,-0.00043556521150955874,-0.08834351599216461,8192,8192,8192,"[64, 128]",,0.0,0.051331868236285334,0.000732421875,0.0,0.0,0.0,layer0_linear,gcn,,matmul,0
ogbn-arxiv,torch.sparse.mm,normalized_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0001_layer0_spmm_spmm_A.pt,16,16,0.9899325355404612,1127768,112021056,1,1,0.9999534266626727,1335586,28677051649,32,32,0.961796325148015,1069904,28005264,4,4,0.9993316563405723,1197897,1792336896,8,8,0.9974033899484039,1163500,448084224,cpu,torch.float32,True,"[169343, 169343]",1.0,6.99105635649402e-06,0.0,1335586,1335586,28677051649,"[169343, 169343]",CSR,0.9999534266626727,0.0015042653855657057,0.9999534266626727,0.9999534266626727,0.9999534266626727,0.9999534266626727,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0001_layer0_spmm_spmm_B.pt,16,16,0.0,42336,42336,1,1,0.0,10837952,10837952,32,32,0.0,10584,10584,4,4,0.0,677376,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",0.8648987412452698,0.0006902321097428147,-0.88437819480896,10837952,10837952,10837952,"[169343, 64]",,0.0,0.12807902220565723,0.000634529475679538,0.0,0.0,0.0,layer0_spmm,gcn,,spmm,1
ogbn-arxiv,torch.nn.functional.linear,activation,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0002_layer1_linear_matmul_A.pt,16,16,0.0,42336,42336,1,1,0.49502931919240833,5472848,10837952,32,32,0.0,10584,10584,4,4,0.0,677376,677376,8,8,0.0,169344,169344,cpu,torch.float32,False,"[169343, 64]",2.249185085296631,0.05603274825532322,0.0,5472848,5472848,10837952,"[169343, 64]",,0.49502931919240833,0.08487593720784783,0.4953039098161719,0.49502931919240833,0.49502931919240833,0.49502931919240833,weight,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0002_layer1_linear_matmul_B.pt,16,16,0.0,12,12,1,1,0.0,2560,2560,32,32,0.0,4,4,4,4,0.0,160,160,8,8,0.0,40,40,cpu,torch.float32,False,"[40, 64]",0.12496735155582428,0.0001762706961017102,-0.12490171194076538,2560,2560,2560,"[40, 64]",,0.0,0.07245274108339674,0.001171875,0.0,0.0,0.0,layer1_linear,gcn,,matmul,2
ogbn-arxiv,torch.sparse.mm,normalized_adj,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0003_layer1_spmm_spmm_A.pt,16,16,0.9899325355404612,1127768,112021056,1,1,0.9999534266626727,1335586,28677051649,32,32,0.961796325148015,1069904,28005264,4,4,0.9993316563405723,1197897,1792336896,8,8,0.9974033899484039,1163500,448084224,cpu,torch.float32,True,"[169343, 169343]",1.0,6.99105635649402e-06,0.0,1335586,1335586,28677051649,"[169343, 169343]",CSR,0.9999534266626727,0.0015042653855657057,0.9999534266626727,0.9999534266626727,0.9999534266626727,0.9999534266626727,projected_features,/home/nizhj/gnn_sparsity/analysis/gnn_operator_capture/outputs/gcn/ogbn-arxiv/tensors/0003_layer1_spmm_spmm_B.pt,16,16,0.0,31752,31752,1,1,0.0,6773720,6773720,32,32,0.0,10584,10584,4,4,0.0,423360,423360,8,8,0.0,105840,105840,cpu,torch.float32,False,"[169343, 40]",0.6674987077713013,-0.0026250824061807656,-0.7253023982048035,6773720,6773720,6773720,"[169343, 40]",,0.0,0.06060411325861696,0.0012991384350105998,1.4762936761484087e-07,0.0,0.0,layer1_spmm,gcn,,spmm,3
